,four,one,three,two
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6656639-Reviews-My_Paris_River-Paris_Ile_de_France.html,My Paris River,Croisières,79
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4942525-Reviews-Stadtrundgang_Paris-Paris_Ile_de_France.html,Stadtrundgang Paris,Visites guidées,62
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7183886-Reviews-Nekovisit-Paris_Ile_de_France.html,Nekovisit,"Visites de la ville, Visites privées",64
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3827005-Reviews-Another_Paris-Paris_Ile_de_France.html,Another Paris,,81
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10781846-Reviews-6clo-Paris_Ile_de_France.html,6clo,Visites de la ville,47
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6779466-Reviews-PariSmile-Paris_Ile_de_France.html,PariSmile,Visites culturelles,59
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3948577-Reviews-Cultival-Paris_Ile_de_France.html,Cultival,Visites guidées,1058
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8660733-Reviews-Paris_Visites-Paris_Ile_de_France.html,Paris Visites,Visites de la ville,47
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8737904-Reviews-J_L_Paris-Paris_Ile_de_France.html,J&L Paris,"Visites culturelles, Visites guidées",52
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1890678-Reviews-Experience_Paris_Vintage_2CV_Tours-Paris_Ile_de_France.html,Experience Paris - Vintage 2CV Tours,"Visites de la ville, Visites privées",65
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2274303-Reviews-Vedettes_du_Pont_Neuf-Paris_Ile_de_France.html,Vedettes du Pont Neuf,"Visites de la ville, Croisières",1509
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9817881-Reviews-Fresh_Street_Art_Tour_Paris-Paris_Ile_de_France.html,Fresh Street Art Tour Paris,Visites culturelles,49
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10216154-Reviews-Paris_Always_Walk-Paris_Ile_de_France.html,Paris Always Walk,,71
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d241573-Reviews-Canauxrama-Paris_Ile_de_France.html,Canauxrama,"Visites guidées, Croisières",370
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9585630-Reviews-With_Love_From_Paris_Tours-Paris_Ile_de_France.html,With Love From Paris Tours,"Visites privées, Visites de la ville",44
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7218606-Reviews-Fabulous_You_Paris-Paris_Ile_de_France.html,Fabulous You Paris,Visites de la ville,70
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2572797-Reviews-Paris_Webservices_Day_Tours-Paris_Ile_de_France.html,Paris Webservices Day Tours,Visites guidées,147
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7154430-Reviews-La_Marina_de_Paris_Seine_River_Cruise-Paris_Ile_de_France.html,La Marina de Paris Seine River Cruise,Croisières,533
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1957397-Reviews-Secrets_of_Paris_Private_Tours-Paris_Ile_de_France.html,Secrets of Paris Private Tours,"Visites privées, Visites culturelles",72
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10392686-Reviews-Wine_Passport-Paris_Ile_de_France.html,Wine Passport,"Visites culturelles, Visites privées",54
